№;Предмет;Позначення;Найменування предмету;Категория;Залишок
50;50400346;HP100 079;020301227D 18x30x6,4/8,1 САЛЬНИК ПЕРЕКЛ. ПЕРЕД. VW GOLF A 1,5-2,0@^;Прокладки и сальники;3
51;50400620;HP100 087;020498085G РЕМ. К-Т !!!!САЛЬН. ДИФФЕР.+ ЗАГЛУШКА 50x65.2x10@^BRON;Прокладки и сальники;3
52;50400217;HP100 714;037115220B ПРОКЛАДКА ПОДДОНА МАСЛА (С ЗАЩИТОЙ) VW 1,9D@^ BRON;Прокладки и сальники;2
53;50400622;HP104 505;N0282062 ОРИНГ КРЕПЛ. ДАТЧИКОВ В ГОЛ. VW -90;Прокладки и сальники;13
54;50400643;HP201 218;0636841 САЛЬНИК ВАЛА РАСПР. OPEL OHC;Прокладки и сальники;2
55;50400630;LBU8881;САЛЬНИК;Прокладки и сальники;2
56;50400607;N 012 70 82;Шпонка шестерни коленвала;Прокладки и сальники;1
57;50400310;SAS1213273;40x58x11.3. Peugeot 206 САЛЬНИК П/О ЛЕВ.@С ПЛАСТИК. ЗУБ. ^;Прокладки и сальники;
58;50400578;TP207 217;TOPRAN КІЛЬЦЕ УЩІЛЬНЮВАЧ;Прокладки и сальники;
59;50500965;054 903 137;РЕМЕНЬ ПРИВОД.. (11,2x866) AUDI 80/90, VW PASSAT;Ремни;3
60;50500913;1 987 947 604;10X813 Ремень клинов. OPEL. VW. FORD. AUDI;Ремни;1
61;50500955;1 987 949 044;РЕМЕНЬ РАСПР. 136X1 PEUGEOT 1,8/1,9D;Ремни;1
62;50500930;10 X 725 DAYCO;РЕМЕНЬ КЛИНОВЫЙ 10x725@BRON AVIK VAZ;Ремни;1
63;50500932;10 X 760 DAYCO;РЕМЕНЬ КЛИНОВЫЙ 10x760@;Ремни;1
64;50500927;10 X 925 DAYCO;РЕМЕНЬ КЛИНОВЫЙ 10x925@BRON AVIK;Ремни;1
65;50500958;11.5 X 685;РЕМЕНЬ КЛИНОВ.;Ремни;1
66;50500816;13 X 1025 DAYCO;РЕМЕНЬ КЛИНОВЫЙ 13x1025@BRON AVIK;Ремни;1
67;50500926;13 X 1050 DAYCO;РЕМЕНЬ КЛИНОВЫЙ 13x1050@BRON;Ремни;1
68;50500928;13 X 1125 DAYCO;РЕМЕНЬ КЛИНОВЫЙ 13x1125@ BRON AVIK;Ремни;1
69;50500929;13 X 1300 DAYCO;РЕМЕНЬ КЛИНОВЫЙ;Ремни;1
70;50500915;4 PK 736 DAYCO;РЕМЕНЬ ПОЛИКЛИН.@ TRANSIT 2,0DI 00- Г/У !!!!! BRON AVIK;Ремни;1
71;50500916;5 PK 1125 DAYCO;РЕМЕНЬ ПОЛИКЛИНОВЫЙ 5PK1125@ВАЗ BRON AVIK;Ремни;1
72;50500967;5 PK 906;5PK906 РЕМЕНЬ ПОЛИКЛИНОВЫЙ BMW 3/5/Z3, ALFA ROMEO 145/146, FIAT, LANCIA;Ремни;1
73;50500987;6 PK 1054;6PK1054 РЕМЕНЬ ПОЛИКЛИНОВЫЙ ALFA ROMEO, FIAT DOBLO, FORD,HONDA;Ремни;1
74;50500414;6 PK 1125 DAYCO;РЕМЕНЬ ПОЛИКЛИНОВЫЙ 6PK1125@BRON  KANGOO AVIK ДР.;Ремни;1
